IEPP;DRE;EPP;EDIL;PRIVE;ENSEMBLE;urbain; accs ;"Année 2
KLOTO_EST;PLATEAUX;66;0;37;103;66;95;1786;1732;1719;1549;1599;1599;9984;1815;1690;1693;1642;1574;1186;9600;19584;1784;1517;1689;1340;1534;1078;1815;1514;1667;1421;1509;1104;1789;1789;1658;1577;1603;1507;9364;1748;1680;1586;1649;1547;1154;1824;818;884;859;834;453;620;339;913;773;738;674;106;107;107;105;101;99;101;103;98;101;99;95;199;120;60;36;48;69;323;148;;533;55;129;717;18608;1748;1680;39;91;130;18;1824;1842;5324000;155000;322250;;;1182000;6983250;221;83;304;5;3;8;48;18;66;122;24;146;458;524;59,94578349;103;19584;1;0;2;0;3;95,01633987;97,43589744;59,94578349;65,50218341;26,20087336;1,369542993;;1,027787556;0,867637341;19287;0,970873786;1,941747573;IEPP KLOTO EST;3;103;458;66;1;1612;0,85694091;0,967425771;0,851109741;0,943273404;0,692698413;13271;0,847959754;0,944102851;0,808202654;0,972733037;0,672489083;625;0,866132723;0,992261905;0,895964691;0,915100061;0,713639302;0,461037097;0,917687908;0,975520367;0,841675571;0,952167987;0,640776699;0,922330097;0,349514563;0,582524272;0,669902913;0,950163399;1;0,935457516;0,423473197;0,302896819;0,743375174;0,461037097;0,917687908;0,707897802;0,834018882;2518;2402;2410;2244;2227;1593;13394;355;128;1191;1286;2477;1300000;994000;1053600;741525;2199150;1123100;4339250;7318000;28000;4932535;2294000;1795125;3322250;396;128;9,830868494;12,37570683;16,78265913;12,43789225;0,487168334;0,752936059;0,944758591;0,856024358
KLOTO_OUEST;PLATEAUX;56;0;33;89;35;80;1375;1279;1266;1218;1264;1264;7666;1321;1218;1260;1156;1224;890;7069;14735;1375;1208;1245;1139;1220;822;1321;1164;1241;1105;1189;869;1397;1397;1217;1258;1242;1156;6777;1274;1172;1164;1197;1200;770;2527;686;1007;918;818;490;1119;397;846;750;722;653;88;88;89;89;87;84;86;86;87;87;84;79;196;120;49;24;51;48;230;254;;429;20;80;529;14254;1274;1172;44;4;48;0;2527;2527;3875090;0;265000;;;344500;4484590;199;40;239;4;1;5;50;19;69;49;16;65;309;378;53,45002748;89;14735;1;0;1;1;3;96,73566339;97,95081967;53,45002748;97,08737864;38,83495146;2,566438894;;2,157512147;3,224147365;14444;1,123595506;2,247191011;IEPP KLOTO OUEST;3;89;309;54;1;837;0,888056908;0,967691709;0,942461151;0,981262729;0,692465192;9302;0,864710093;0,891195419;0,93590797;0,969793323;0,661835749;525;0,913657771;1,05887372;0,949312715;0,993316625;0,724166667;0,550331695;0,943196471;0,983967964;0,700717197;0,938186203;0,393258427;0,898876404;0,269662921;0,550561798;0,539325843;0,967356634;1;0,838819138;0,682044228;0,474764575;0,810964083;0,550331695;0,943196471;0,700428521;0,834782931;1762;1694;1674;1608;1649;1064;9451;319;87;1537;1817;3354;130800;253500;668325;653100;2858470;906530;614400;0;0;1701925;384300;1321425;3765000;302;76;9,362815696;14,11396368;17,19964517;12,85271491;0,404508453;0,896681277;0,9661866;0,892298059
KPELE;PLATEAUX;100;0;19;119;19;94;2226;1769;1765;1603;1561;1561;10485;2374;1643;1624;1397;1503;1020;9561;20046;2209;1491;1742;1351;1537;1040;2355;1412;1609;1179;1483;916;2221;2221;1915;1745;1637;1527;9585;2116;1744;1643;1593;1414;1075;3257;1593;1796;1687;1298;814;1764;816;1673;1437;1159;932;119;119;119;119;118;117;119;119;119;118;116;116;367;271;36;16;64;37;190;350;;533;77;233;843;14800;2116;1744;22;5;27;1;3257;3258;6435000;8682866;226200;;;925000;16269066;293;35;328;8;1;9;111;14;125;26;6;32;369;494;83,01416437;119;20046;1;0;1;0;2;73,83019056;97,32937685;83,01416437;81,30081301;16,2601626;1,05021742;;0,595337239;0,991620003;20851;0,840336134;0,840336134;IEPP KPELE;2;119;369;96;0;1722;0,669356698;0,845145019;0,711073637;0,904733373;0,641101278;17103;0,671319226;0,784331382;0,705483029;0,880802292;0,635308491;711;0,667296786;0,922591743;0,717589775;0,930947897;0,647807638;0,233319309;0,914097576;0,953859155;0,78019303;0,954239488;0,159663866;0,789915966;0,134453782;0,302521008;0,31092437;0,738301906;1;0,736306495;0,618999644;0,461123622;0,632265718;0,233319309;0,914097576;0,571480845;0,778287647;4036;2984;2880;2553;2590;1831;16874;389;52;802;830;1632;120000;383700;1264850;1357500;5309861;3857950;5284850;1320800;0;10945300;503700;2622350;9167811;438;56;9,023673811;12,79651163;16,17821857;12,1391766;0,364341085;0,805745554;0,939352485;0,834017328
MOYEN_MONO;PLATEAUX;64;6;23;93;9;91;2305;1730;1630;1487;1323;1323;9798;2135;1642;1493;1310;1211;1006;8797;18595;2305;1593;1627;1361;1319;1028;2135;1532;1492;1188;1209;823;2409;2409;1737;1552;1473;1431;8765;2178;1621;1374;1277;1202;1113;2779;2810;2663;2528;2011;921;2993;3236;2556;2336;1789;1429;97;96;97;94;93;94;98;94;91;92;91;92;254;150;37;8;66;44;266;285;;384;3;194;581;15618;2178;1621;37;0;37;0;2779;2779;3980000;75000;0;;;4213294;8268294;173;14;187;3;0;3;105;27;132;50;3;53;243;375;72,68548727;93;18595;1;0;1;0;2;83,99031998;98,42105263;72,68548727;100;24,69135802;1,513758478;;0,932457937;1,399946303;19776;1,075268817;1,075268817;IEPP MOYEN MONO;2;93;243;66;7;983;0,681273163;0,773945409;0,819350691;0,893601979;0,691962617;14808;0,661270237;0,675383977;0,78353483;0,849871134;0,697895451;571;0,703397612;0,920419494;0,864628821;0,946750196;0,68469218;0,267133398;0,947136327;0,928578334;0,571984559;0,989345088;0,096774194;0,978494624;0,086021505;0,397849462;0,47311828;0,8399032;1;0,522721162;0,940337402;0,983335619;0,660929432;0,267133398;0,947136327;0,663641284;0,735546162;3592;2694;2465;2252;1935;1644;14582;300;35;1070;1198;2268;430910;244500;1216000;753600;2444325;1266170;576000;250000;0;1259283;675410;1969600;3710495;331;44;8,86584712;10,5167739;13,44715074;10,85729057;0,328584559;0,604319853;0,817095588;0,709099265
OGOU;PLATEAUX;151;3;66;220;72;195;5245;4575;4351;3950;4078;4078;26277;4935;4455;4328;3908;4082;3139;24847;51124;4867;3959;3948;3479;3657;3025;4611;3895;3950;3401;3659;2791;5124;5124;4472;4153;4045;3783;24109;4993;4293;4172;4028;3668;2955;8425;5102;5080;4515;3955;1709;2674;1003;4879;4305;3902;2976;216;218;218;217;216;210;209;210;208;206;203;204;530;285;74;50;145;83;411;485;;996;64;364;1424;38718;4993;4293;46;72;118;24;8425;8449;22550880;1132421;619000;;;32820018;57122319;481;122;603;13;4;17;122;16;138;145;42;187;807;945;41,88890107;220;51124;1;0;1;1;3;75,73351068;97,25806452;41,88890107;37,17472119;14,86988848;1,549655736;;1,303197456;1,893176635;50810;0,454545455;0,909090909;IEPP OGOU;3;220;807;149;5;5882;0,77631709;0,838695975;0,795927811;0,894267204;0,754051601;37306;0,772638564;0,770491803;0,777951699;0,880568264;0,747836836;1295;0,780092129;0,920102492;0,815196548;0,908391261;0,760905125;0,349450573;0,884946405;0,954322475;0,754082787;0,972200312;0,327272727;0,886363636;0,227272727;0,336363636;0,377272727;0,757335107;1;0,631405993;0,747630055;0,512661351;0,699438202;0,349450573;0,884946405;0,622966401;0,784812325;7839;6787;6591;6047;6271;4968;38503;742;172;1157;1264;2421;1346440;1983150;6342860;3424290;29488396;7217400;9340500;790630;5610380;10670108;3329590;9767150;36705796;761;184;8,362887921;14,3551574;15,44884461;12,05222586;0,296718017;0,894675151;0,895177495;0,7938714
WAWA_EST;PLATEAUX;66;3;4;73;0;73;1189;1067;1040;964;914;914;6088;1171;1002;933;878;848;786;5618;11706;1189;957;1040;864;914;717;1171;926;933;797;848;731;1236;1236;1043;1021;994;887;5620;1141;1006;925;912;942;694;1952;1597;1798;1387;1128;657;2091;2235;1560;1465;1049;778;73;73;73;72;72;71;73;73;73;73;71;71;256;169;4;1;26;24;59;0;;194;59;95;348;10059;1141;1006;7;0;7;0;1952;1952;6046000;678000;1576950;;;6798660;15099610;212;21;233;0;0;0;52;5;57;8;6;14;247;304;62,57090101;73;11706;1;0;1;0;2;85,93029216;100;62,57090101;100;24,29149798;1,419469351;;1,226328075;1,653171548;12037;1,369863014;1,369863014;IEPP WAWA EST;2;73;247;69;1;619;0,792175011;0,880017841;0,844004065;0,911536472;0,747933884;11125;0,774271845;0,841423948;0,828379674;0,895200784;0,721327968;434;0,811568799;0,927435388;0,861621622;0,929824561;0,776008493;0,401138561;0,947121134;0,9849825;0,744728394;0,969741182;0;1;0,01369863;0,054794521;0,328767123;0,859302922;1;0,844011618;0,769626886;0,814165688;0,557471264;0,401138561;0,947121134;0,603486554;0,808736819;2245;1966;1904;1767;1693;1494;11069;263;34;1686;1796;3482;30000;96050;326750;429500;1436000;1372800;1068000;10000;6673660;1660150;126050;756250;2808800;272;32;9,003347184;14,03878116;14,66920591;12,05688564;0,39265928;0,930747922;0,869806094;0,804709141
WAWA_OUEST;PLATEAUX;83;3;19;105;9;92;1934;1590;1399;1397;1265;1265;8850;1864;1511;1341;1342;1238;1135;8431;17281;1934;1359;1399;1207;1265;1023;1864;1290;1341;1173;1238;899;1873;1873;1612;1474;1418;1377;8538;1886;1559;1337;1415;1217;1124;2057;1515;1658;1370;1078;660;1235;881;1491;1338;1116;986;108;108;107;105;106;106;107;107;105;106;106;106;320;208;24;14;46;30;141;366;;245;124;108;477;11470;1886;1559;31;12;43;4;2057;2061;8750000;0;0;;;375000;9125000;221;15;236;5;0;5;107;25;132;44;10;54;295;0;72,0633945;105;17281;1;0;1;0;2;66,37347376;97,9253112;72,0633945;100;20,33898305;2,452996679;;1,670192443;1,790981595;18165;0,952380952;0,952380952;IEPP WAWA OUEST;2;105;295;84;1;1289;0,704708699;0,798368298;0,807053238;0,866389754;0,729411765;14169;0,725573946;0,746930059;0,748759305;0,858208955;0,721438646;640;0,683987275;0,860166774;0,877337322;0,874911661;0,738701726;0,286946659;0,925409409;0,910371075;0,75312261;0,999281165;0,085714286;0,876190476;0,133333333;0,228571429;0,285714286;0,663734738;1;0,682830855;0,598134864;0,505523673;0,513626834;0,286946659;0,925409409;0,546052324;0,749326448;3088;2548;2223;2225;2009;1847;13940;334;39;1369;1416;2785;30000;243000;889475;1049035;2538030;1767275;2754700;100000;60000;3629915;273000;1938510;4305305;377;50;7,015650497;12,72830441;13,75122385;10,61930193;0,174454829;0,818424566;0,82777036;0,62082777
BLITTA_EST;CENTRALE;92;1;15;108;11;89;1656;1346;1319;1347;1388;1388;8444;1531;1399;1296;1271;1290;1408;8195;16639;1656;1181;1319;1168;1388;1023;1531;1271;1296;1106;1290;990;1577;1577;1367;1264;1394;1363;8124;1471;1318;1210;1296;1336;1493;1874;1849;1783;1679;1455;962;397;720;1937;1659;1442;1358;109;109;107;107;104;106;107;106;106;106;104;103;238;174;74;9;78;78;577;260;;646;12;174;832;16267;1471;1318;21;11;32;1;1874;1875;9600000;0;0;;;0;9600000;288;56;344;1;0;1;84;16;100;39;3;42;387;0;65,90185905;108;16639;1;0;2;0;3;97,76428872;99,71014493;65,90185905;77,51937984;31,00775194;1,160773534;;0,85932147;0,800411205;16666;0,925925926;1,851851852;IEPP BLITTA EST;3;108;387;90;2;1420;0,804461942;0,90328152;0,88242142;1,04609375;0,737362637;14587;0,748890298;0,836398224;0,85442575;1,098101266;0,733859397;642;0,864038069;0,983308042;0,914049587;0,99537037;0,741017964;0,494602612;0,914658333;0,973968674;0,752931065;0,996948507;0,101851852;0,824074074;0,083333333;0,685185185;0,722222222;0,977642887;1;0,930344372;0,662801132;0,518602885;0,776442308;0,494602612;0,914658333;0,689966808;0,787585166;2777;2403;2248;2276;2296;2487;14487;416;78;1177;1228;2405;274000;88000;570000;730065;2976250;1890700;6847100;409000;0;2905685;362000;1300065;4866950;412;75;7,598733634;12,21732131;12,72376046;10,55887223;0,267224726;0,754668384;0,717643271;0,592401803
BLITTA_OUEST;CENTRALE;82;2;25;109;0;99;1755;1558;1363;1395;1344;1344;8759;1617;1468;1258;1340;1247;1420;8350;17109;1755;1304;1363;1127;1344;929;1617;1244;1258;1116;1247;830;1756;1756;1586;1374;1401;1358;8191;1671;1426;1407;1309;1269;1109;1713;1706;1729;1597;1365;1007;599;587;1712;1524;1422;1204;110;111;107;108;109;112;111;110;107;107;108;103;233;153;43;2;41;54;400;338;;490;29;209;728;15787;1671;1426;15;25;40;5;1713;1718;7966000;0;3658000;;;280000;11904000;264;22;286;2;0;2;93;9;102;54;7;61;349;0;75,85662668;109;17109;1;0;1;1;3;92,27307265;99,30555556;75,85662668;85,95988539;34,38395415;1,196048046;;0,743690473;0,726356016;17422;0,917431193;1,834862385;IEPP BLITTA OUEST;3;109;349;80;1;1975;0,743507441;0,823695789;0,749415302;0,965710026;0,658801498;13770;0,742596811;0,7761959;0,710592686;0,978165939;0,663097787;657;0,744464393;0,882187938;0,793176972;0,9526356;0,654058314;0,29199542;0,88456368;0,710025671;0,818496547;0,980587656;0;0,908256881;0,018348624;0,394495413;0,495412844;0,922730727;1;0,815944824;0,649636597;0,502208921;0,673076923;0,29199542;0,88456368;0,614430609;0,664902605;2762;2482;2126;2228;2016;2420;14034;402;37;1170;1316;2486;95000;394000;1120704;1574076;6932141;3802377;4053300;80000;0;3381949;489000;2694780;10734518;413;38;7,748661909;8,003345227;9,653806125;8,689323945;0,157448707;0,327386262;0,466547725;0,303746655
MO;CENTRALE;51;0;0;51;2;45;990;941;827;819;761;761;5099;943;928;806;749;642;521;4589;9688;990;837;827;719;761;592;943;821;806;666;642;428;1067;1067;983;797;809;707;4412;1056;957;737;717;546;399;1752;1666;1904;1901;1597;1315;1120;1091;1735;1713;1545;1358;52;53;53;51;50;49;51;52;49;50;45;44;147;98;27;2;21;23;117;148;;221;34;94;349;7391;1056;957;5;0;5;0;1752;1752;4605000;0;0;;;3836447;8441447;108;4;112;24;1;25;93;5;98;0;0;0;137;0;87,32026804;51;9688;1;0;1;0;2;76,29025599;81,75182482;87,32026804;100;43,79562044;1,10249299;;0,749427256;1,287251522;9842;1,960784314;1,960784314;IEPP MO;2;51;137;46;25;656;0,780970325;0,806818182;0,805232558;0,92668428;0,752767528;9382;0,784442362;0,775070291;0,731434385;0,954830615;0,731767614;308;0,777462121;0,842215256;0,903663501;0,89539749;0,783882784;0,353935567;0,932287366;0,786175386;0,748171118;0,987762962;0,039215686;0,882352941;0,039215686;0,529411765;0,450980392;0,76290256;1;0,565648225;0,96644853;0,841071985;0,633237822;0,353935567;0,932287366;0,627333653;0,742211201;1933;1869;1633;1568;1403;1221;9627;203;8;1666;1896;3562;422500;444500;522772;985679;3200612;1649128;3514000;50000;0;1970338;867000;1508451;4849740;225;10;7,424272818;11,42477432;13,57606152;10,49004155;0,172517553;0,731193581;0,810431294;0,644934804
SOTOUBOUA_NORD;CENTRALE;90;0;4;94;1;77;1256;1376;1098;1284;1087;1087;7188;1252;1301;1080;1269;1068;1101;7071;14259;1253;1110;1097;1033;1086;1057;1251;1102;1080;1024;1067;1002;1228;1228;1383;1053;1364;1102;7071;1190;1346;1064;1302;1074;1095;1831;1076;1428;1436;1342;895;867;391;1544;1345;1257;1102;95;95;94;94;94;93;93;94;92;93;93;93;279;203;48;12;68;53;341;172;;528;34;162;724;13877;1190;1346;12;0;12;0;1831;1831;9630000;0;120000;;;14784443;24534443;308;30;338;6;0;6;103;12;115;9;3;12;356;;66,50753402;94;14259;1;0;2;0;3;97,32099025;98,25581395;66,50753402;84,26966292;33,70786517;1,125862061;;1,244215;1,106438886;14429;1,063829787;2,127659574;IEPP SOTOUBOUA NORD;3;94;356;89;0;1097;0,914805624;0,845765346;0,840621169;0,914225053;0,844544709;13958;0,903908795;0,893322476;0,74692697;1,031339031;0,774926686;565;0,92605042;0,802377415;0,962406015;0,819508449;0,932960894;0,502174665;0,923066134;0,976451721;0,881626331;0,999695928;0,010638298;0,819148936;0,127659574;0,510638298;0,563829787;0,973209903;1;0,998667508;0,583503352;0,474060041;0,729281768;0,502174665;0,923066134;0,6477663;0,852400819;2375;2549;2090;2453;2058;2199;13724;400;45;16622;17608;34230;298900;570528;1300810;2475228;8069302;3389427;1593373;454336;0;3503555;869428;3776038;11458729;426;45;9,475635277;13,86098655;14,8961136;12,32303011;0,416143498;0,894618834;0,860986547;0,831390135
SOTOUBOUA_SUD;CENTRALE;67;0;15;82;23;73;1291;1302;1085;1327;1193;1193;7391;1242;1228;1119;1237;1196;1250;7272;14663;1291;1095;1085;1040;1193;1048;1242;1062;1119;977;1196;909;1229;1229;1258;1145;1431;1190;7286;1209;1252;1025;1385;1104;1311;1995;1956;1957;1775;1687;1522;1233;534;1787;1735;1415;1499;83;83;83;82;82;82;81;82;80;82;79;81;156;99;41;14;59;56;329;162;;542;23;68;633;14378;1209;1252;19;0;19;0;1995;1995;7005000;170000;422350;;;10409688;18007038;235;35;270;19;6;25;32;2;34;26;5;31;326;;73,77470782;82;14663;1;0;1;1;3;98,05633226;91,52542373;73,77470782;92,02453988;36,80981595;1,139110054;;0,974315107;0,993233847;14768;1,219512195;2,43902439;IEPP SOTOUBOUA SUD;3;82;326;66;0;1406;0,884741591;0,888351471;0,88348664;0,944268775;0,77199211;11770;0,890968267;0,88283157;0,826709062;1,041921397;0,732354997;495;0,878411911;0,893769968;0,953170732;0,863537906;0,823369565;0,506185554;0,904112392;0,933558452;0,932563702;0,979183754;0,280487805;0,890243902;0,170731707;0,5;0,682926829;0,980563323;1;0,889313237;0,9491939;0,714858388;0,856240126;0,506185554;0,904112392;0,735817788;0,815412561;1950;1963;1656;2019;1787;2100;11475;330;61;977;1088;2065;6620000;321350;1707022;1881433;7432552;3210025;10581909;1653943;0;4810070;6941350;3588455;10642577;312;48;7,707759156;11,49590317;13,81998759;10,79574355;0,209683426;0,701303538;0,799627561;0,636871508
TCHAMBA_EST;CENTRALE;72;0;12;84;0;65;1790;1538;1364;1261;1264;1264;8481;1694;1453;1234;1232;1149;1263;8025;16506;1790;1341;1364;1078;1261;1043;1694;1270;1234;1053;1145;843;1639;1639;1561;1280;1353;1276;7643;1654;1351;1200;1274;1090;1074;2091;1428;1821;1757;1485;717;1117;1039;1644;1549;1287;1076;86;85;86;82;83;85;85;84;80;82;80;78;203;145;35;0;42;39;189;232;;333;19;171;523;14474;1654;1351;18;13;31;0;2091;2091;7140000;349807;0;;;5708295;13198102;179;7;186;6;0;6;125;12;137;26;0;26;218;;69,18958653;84;16506;1;0;2;0;3;87,68932509;96,875;69,18958653;100;55,04587156;1,356502903;;0,899341533;0,997096048;16391;1,19047619;2,380952381;IEPP TCHAMBA EST;3;84;218;66;2;1390;0,792894018;0,868896321;0,771821804;0,942051684;0,772001637;14032;0,818181818;0,832214765;0,69058296;0,98515625;0,770879527;507;0,76783555;0,913397483;0,8775;0,898744113;0,773394495;0,386716849;0,915788198;0,803494245;0,834796156;0,971224777;0;0,773809524;0;0,416666667;0,464285714;0,876893251;1;0,528292742;0,640162467;0,530910092;0,636711281;0,386716849;0,915788198;0,569706812;0,729872787;3121;2647;2255;2175;2028;2300;14526;308;21;776;762;1538;75000;204000;494048;858240;4690769;4813641;19469869;11104000;140000;3677361;279000;1352288;9504410;336;19;5,559450172;12,12082474;12,19814433;9,375596465;0,067628866;0,764536082;0,70556701;0,467216495
TCHAMBA_OUEST;CENTRALE;83;8;15;106;28;95;2318;2065;1799;1689;1581;1581;11033;2052;1859;1610;1601;1416;1451;9989;21022;2318;1763;1799;1459;1581;1259;2052;1617;1610;1394;1416;1134;2318;2318;2123;1685;1776;1578;10412;2134;1915;1597;1628;1410;1728;3330;2429;2575;2468;2202;1214;2547;1396;2425;2241;2007;1456;106;105;100;99;95;94;103;101;101;96;94;95;238;200;75;10;46;56;322;0;;527;27;116;670;19102;2134;1915;27;0;27;0;3330;3330;8513000;4728000;8944900;;;24526500;46712400;248;23;271;20;3;23;101;18;119;4;0;4;298;;70,75430308;106;21022;1;0;1;0;2;90,86671106;92,17687075;70,75430308;100;20,13422819;1,410059493;;0,922148149;1,283223291;22210;0,943396226;0,943396226;IEPP TCHAMBA OUEST;2;106;298;79;1;1620;0,759209344;0,805339003;0,766935484;0,904618171;0,751098556;19329;0,760569456;0,776100086;0,687235045;0,938278932;0,708896396;599;0,757731959;0,84073107;0,872886662;0,86977887;0,804255319;0,318611424;0,922937875;0,937313986;0,693654629;0,99922042;0,264150943;0,896226415;0,094339623;0,70754717;0,528301887;0,908667111;1;0,567025021;0,779410152;0,661769543;0,786567164;0,318611424;0,922937875;0,676314478;0,753734762;3838;3429;2936;2843;2571;2625;18242;358;41;703;777;1480;14590000;1396641;1413309;3502865;9203206;2444706;14737850;809000;67024;4607122;15986641;4916174;11647912;373;44;7,378686327;12,82560322;13,55942806;10,81602834;0,234048257;0,810723861;0,771849866;0,650670241
TCHAOUDJO_NORD;CENTRALE;88;0;23;111;51;95;2060;2179;1765;1893;1691;1691;11279;1939;2051;1868;1866;1668;1829;11221;22500;2060;1803;1765;1510;1691;1380;1939;1756;1868;1538;1668;1380;2109;2109;2009;1705;1974;1661;11209;1948;2027;1697;1924;1642;1971;2729;1317;1460;1522;1536;1064;1344;332;1556;1387;1643;1394;114;115;112;113;109;110;114;110;110;110;108;112;229;141;86;32;55;66;327;186;;726;43;71;840;21204;1948;2027;31;2;33;0;2729;2729;8500000;1980000;709500;;;21805744;32995244;275;75;350;8;1;9;79;12;91;28;14;42;401;0;65,05470074;111;22500;1;0;1;0;2;94,24;97,49303621;65,05470074;74,81296758;14,96259352;0,578190786;;0,517466289;0,511654167;22776;0,900900901;0,900900901;IEPP TCHAOUDJO NORD;2;111;401;81;12;2142;0,877249199;0,878384913;0,822450081;0,925599339;0,763274336;18638;0,854907539;0,836889521;0,75161772;0,991788856;0,699088146;673;0,901437372;0,921558954;0,906305245;0,866943867;0,84043849;0,447735048;0,9048;0,962708223;0,679681364;0,999261334;0,459459459;0,855855856;0,288288288;0,774774775;0,594594595;0,9424;1;0,712888889;0,528198376;0,420013167;0,864285714;0,447735048;0,9048;0,701307457;0,771529551;3107;3394;2858;3037;2717;3115;18228;372;103;723;726;1449;260000;1015000;461531;1115100;12300343;6024227;2342427;644943;0;4822717;1275000;1576631;18324570;390;102;8,551513652;10,84978966;13,79905964;10,84020928;0,29918337;0,6223707;0,794357832;0,634991339
TCHAOUDJO_SUD;CENTRALE;106;5;25;136;54;108;2661;2678;2496;2355;2437;2437;15064;2614;2454;2337;2326;2281;2368;14380;29444;2661;2295;2496;2007;2437;1737;2614;2181;2337;2037;2281;1667;2733;2733;2635;2288;2453;2296;13911;2548;2393;2216;2330;2211;2213;4014;2892;3085;2803;2669;1574;2866;1079;2932;2845;2439;2089;136;138;136;134;131;132;126;128;122;124;123;122;351;248;94;39;65;75;386;480;;807;46;136;989;25892;2548;2393;28;86;114;22;4014;4036;10514000;30000;1637000;;;53221495;65402495;314;70;384;21;3;24;131;28;159;92;28;120;528;0;71,07486429;136;29444;1;0;1;1;3;87,93642168;94,11764706;71,07486429;56,81818182;22,72727273;0,762679769;;0,638208423;0,756700703;29049;0,735294118;1,470588235;IEPP TCHAOUDJO SUD;3;136;528;105;0;2694;0,847566749;0,942840421;0,833642548;1,021654396;0,729845626;24555;0,839736553;0,913282108;0,761669829;1,065122378;0,708112515;807;0,855965463;0,976598412;0,919223827;0,978969957;0,753957485;0,496737553;0,908504279;0,953979352;0,776795658;0,992145793;0,397058824;0,794117647;0,286764706;0,691176471;0,551470588;0,879364217;1;0,717293846;0,688808927;0,576130023;0,815975733;0,496737553;0,908504279;0,694944788;0,766302215;4353;4259;3999;3947;4031;4145;24734;452;97;1556;1680;3236;144291136;187750;3195102;1383420;13077402;5170641;9377412;376000;10000;5793243;144478886;4578522;18248043;558;129;6,611232359;10,20896988;13,2234832;9,631477209;0,100655022;0,56790393;0,774454148;0,469650655
